time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035632,611137,47471,15,15,10.0.0.2,10.0.0.4,1631,109742
20150518035609,762626,47471,15,15,10.0.0.3,10.0.0.2,1854,5150924
20150518035639,345444,47471,15,15,10.46.42.3,10.0.0.2,1328,89668
20150518035601,753253,47471,15,15,10.0.0.2,10.0.0.4,2092,141592
20150518035617,847719,47471,15,15,10.0.0.2,10.46.42.1,1532,4222304
20150518035639,719368,47471,15,15,10.0.0.2,10.46.42.3,1376,3703648
20150518035632,622441,47471,15,15,10.0.0.4,10.0.0.2,1673,4616138
20150518035624,584555,47471,15,15,10.0.0.4,10.46.42.3,1288,3437144
20150518035654,460494,47471,15,15,10.123.123.123,10.0.0.4,1429,96346
20150518035609,472977,47471,15,15,10.0.0.2,10.0.0.3,1817,122070
20150518035647,896115,47471,15,15,10.46.42.1,10.0.0.3,1342,90372
20150518035601,140087,47471,15,15,10.0.0.4,10.0.0.2,2158,5842276
20150518035624,725402,47471,15,15,10.46.42.3,10.0.0.4,1237,83798
20150518035617,373500,47471,15,15,10.46.42.1,10.0.0.2,1472,99064
20150518035654,134408,47471,15,15,10.0.0.4,10.123.123.123,1495,4100374
20150518035647,88511,47471,15,15,10.0.0.3,10.46.42.1,1403,3843742
