time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035240,851488,47471,15,14,10.0.0.4,10.46.42.3,1548,4237848
20150518035214,284193,47471,15,15,10.123.123.123,10.0.0.4,1484,101560
20150518035205,523106,47471,15,15,10.0.0.3,10.46.42.1,1862,4660468
20150518035232,422043,47471,15,15,10.46.42.3,10.0.0.1,1715,116998
20150518035232,874502,47471,15,15,10.0.0.1,10.46.42.3,1803,4787646
20150518035300,707696,47471,15,10,10.46.42.1,10.0.0.3,1471,101142
20150518035240,969449,47471,15,14,10.46.42.3,10.0.0.4,1490,100452
20150518035249,876210,47471,15,15,10.0.0.2,10.0.0.1,2159,144982
20150518035214,651408,47471,15,15,10.0.0.4,10.123.123.123,1572,4132968
20150518035256,876056,47471,15,15,10.0.0.2,10.46.42.3,1365,3705818
20150518035222,344306,47471,15,15,10.0.0.4,10.46.42.3,1480,3869104
20150518035300,420467,47471,15,11,10.0.0.3,10.46.42.1,1538,3999652
20150518035300,457267,47471,15,2,10.0.0.4,10.123.123.123,503,1365398
20150518035300,56631,47471,15,2,10.123.123.123,10.0.0.4,483,32478
20150518035256,620760,47471,15,15,10.46.42.3,10.0.0.2,1306,88120
20150518035249,407298,47471,15,15,10.0.0.1,10.0.0.2,2208,6104824
20150518035205,245019,47471,15,15,10.46.42.1,10.0.0.3,1778,125512
20150518035223,532062,47471,15,15,10.46.42.3,10.0.0.4,1407,96346
