time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035512,923297,47471,15,14,10.46.42.3,10.0.0.4,1544,104008
20150518035504,672706,47471,15,15,10.0.0.4,10.123.123.123,1251,3299286
20150518035528,282020,47471,15,15,10.46.42.3,10.0.0.4,1164,79044
20150518035600,753253,47471,15,14,10.0.0.2,10.0.0.4,2092,141592
20150518035544,880542,47471,15,14,10.46.42.1,10.0.0.2,1540,103912
20150518035552,279912,47471,15,15,10.46.42.3,10.0.0.4,1319,89182
20150518035544,701578,47471,15,14,10.0.0.2,10.46.42.1,1606,4377084
20150518035528,965099,47471,15,15,10.0.0.4,10.46.42.3,1221,3190850
20150518035600,762626,47471,15,5,10.0.0.3,10.0.0.2,1536,4260072
20150518035600,472977,47471,15,5,10.0.0.2,10.0.0.3,1505,101134
20150518035520,648275,47471,15,14,10.46.42.3,10.0.0.1,1317,89050
20150518035520,47957,47471,15,14,10.0.0.1,10.46.42.3,1381,3715562
20150518035600,140087,47471,15,14,10.0.0.4,10.0.0.2,2158,5842276
20150518035536,1688,47471,15,15,10.0.0.3,10.0.0.2,2290,6235516
20150518035552,925433,47471,15,15,10.0.0.4,10.46.42.3,1373,3700554
20150518035512,382333,47471,15,14,10.0.0.4,10.46.42.3,1603,4384126
20150518035536,943806,47471,15,15,10.0.0.2,10.0.0.3,2231,150694
20150518035504,778559,47471,15,15,10.123.123.123,10.0.0.4,1191,80682
