time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035320,499472,47471,15,15,10.46.42.3,10.0.0.4,1449,97610
20150518035329,568741,47471,15,15,10.46.42.3,10.0.0.1,1493,100730
20150518035352,823799,47471,15,14,10.0.0.2,10.46.42.3,1331,3563814
20150518035320,118920,47471,15,15,10.0.0.4,10.46.42.3,1505,4102482
20150518035400,726956,47471,15,14,10.0.0.3,10.46.42.1,1547,4243566
20150518035336,371831,47471,15,14,10.46.42.3,10.0.0.4,1313,88662
20150518035353,264812,47471,15,15,10.46.42.3,10.0.0.2,1280,86540
20150518035345,622799,47471,15,15,10.0.0.1,10.0.0.2,2112,5843584
20150518035304,707696,47471,15,15,10.46.42.1,10.0.0.3,1471,101142
20150518035400,986967,47471,15,14,10.46.42.1,10.0.0.3,1486,100132
20150518035312,457267,47471,15,14,10.0.0.4,10.123.123.123,1529,4216314
20150518035336,799668,47471,15,14,10.0.0.4,10.46.42.3,1378,3706684
20150518035312,56631,47471,15,14,10.123.123.123,10.0.0.4,1471,98778
20150518035345,924217,47471,15,15,10.0.0.2,10.0.0.1,2067,138986
20150518035304,420467,47471,15,15,10.0.0.3,10.46.42.1,1538,3999652
20150518035400,160827,47471,15,6,10.123.123.123,10.0.0.4,1055,71162
20150518035400,500572,47471,15,6,10.0.0.4,10.123.123.123,1091,2970942
20150518035327,869087,47471,15,14,10.0.0.1,10.46.42.3,1551,4236598
