time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035200,284193,47471,15,1,10.123.123.123,10.0.0.4,193,13750
20150518035200,523106,47471,15,9,10.0.0.3,10.46.42.1,1862,4660468
20150518035150,811881,47471,15,15,10.0.0.2,10.0.0.1,2065,139434
20150518035150,769442,47471,15,15,10.0.0.1,10.0.0.2,2122,5825420
20150518035157,416077,47471,15,14,10.46.42.3,10.0.0.2,1635,110502
20150518035200,651408,47471,15,1,10.0.0.4,10.123.123.123,224,536104
20150518035157,886678,47471,15,14,10.0.0.2,10.46.42.3,1704,4647144
20150518035200,245019,47471,15,9,10.46.42.1,10.0.0.3,1778,125512
